method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-DRIFT_084_SEG_20000_208_SMD_id_31_Facility_tr_50,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,1.0,1.0,0.0,142,,42,2026-08-24T22:32:52
diversify,TSB-U-DRIFT_085_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.75,0.8333,0.5,4,,42,2026-08-24T22:32:53
diversify,TSB-U-DRIFT_085_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5,0.5833,0.5,4,,42,2026-08-24T22:32:53
diversify,TSB-U-DRIFT_086_SEG_18219_039_WSD_id_11_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.0247,0.3371,1.0,18,,42,2026-08-24T22:32:55
diversify,TSB-U-DRIFT_086_SEG_18219_039_WSD_id_11_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4074,0.4528,0.8889,18,,42,2026-08-24T22:32:55
diversify,TSB-U-DRIFT_088_SEG_70001_388_UCR_id_86_Facility_tr_17,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.9867,0.9871,0.0889,180,,42,2026-08-24T22:33:10
diversify,TSB-U-DRIFT_088_SEG_70001_388_UCR_id_86_Facility_tr_17,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.9199,0.8048,0.0889,180,,42,2026-08-24T22:33:10
diversify,TSB-U-DRIFT_089_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.24,0.4439,1.0,10,,42,2026-08-24T22:33:18
diversify,TSB-U-DRIFT_089_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.64,0.7167,1.0,10,,42,2026-08-24T22:33:18
diversify,TSB-U-DRIFT_090_SEG_18179_093_WSD_id_65_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6667,0.594,0.3333,12,,42,2026-08-24T22:33:19
